Feature,Importance
close_to_sma_20,0.04416594
return_10d,0.043977562
close_to_sma_10,0.043601327
close_to_sma_50,0.043282654
bb_position,0.042860538
return_5d,0.042707063
close_to_sma_5,0.042501885
vix_close,0.0423297
atr_pct,0.04219746
volatility_30d,0.04213658
return_1d,0.041974824
sp500_return,0.041900303
bb_width,0.041531686
macd_norm,0.041101307
macd_diff,0.040930517
volume_change,0.040856596
volatility_10d,0.040852506
macd_signal,0.040798496
volume_ratio,0.040530283
rsi_14,0.04040463
return_20d,0.039978784
vix_return,0.039903823
macd,0.03986778
hl_range,0.03960779
momentum_5_norm,0.0
